,STATE,YEAR,gdp_per_capita
1036,Indiana,2009,40572
1037,Iowa,2009,45195
1038,Kansas,2009,43770
1039,Kentucky,2009,36209
1040,Louisiana,2009,46949
1041,Maine,2009,37910
1042,Maryland,2009,52515
1043,Massachusetts,2009,59178
1044,Michigan,2009,36676
1045,Minnesota,2009,48884
1046,Mississippi,2009,31658
1047,Missouri,2009,42012
1048,Montana,2009,36667
1049,Nebraska,2009,47973
1050,Nevada,2009,44774
1051,New Hampshire,2009,47265
1052,New Jersey,2009,55067
1053,New Mexico,2009,40670
1054,New York,2009,59481
1055,North Carolina,2009,43160
1056,North Dakota,2009,48858
1057,Ohio,2009,41593
1058,Oklahoma,2009,38640
1059,Oregon,2009,47530
1060,Pennsylvania,2009,45312
1061,Rhode Island,2009,45280
1062,South Carolina,2009,34955
1063,South Dakota,2009,45457
1064,Tennessee,2009,39096
1065,Texas,2009,47034
1066,Utah,2009,41563
1067,Vermont,2009,40855
1068,Virginia,2009,51389
1069,Washington,2009,52264
1070,West Virginia,2009,34564
1071,Wisconsin,2009,43215
1072,Wyoming,2009,66320
1073,New England,2009,55896
1074,Mideast,2009,55507
1075,Great Lakes,2009,42881
1076,Plains,2009,45399
1077,Southeast,2009,40346
1078,Southwest,2009,44324
1079,Rocky Mountain,2009,45170
1080,Far West,2009,51328
1081,United States,2010,47287
1082,Alabama,2010,35913
1083,Alaska,2010,69564
1084,Arizona,2010,37935
1085,Arkansas,2010,34671
1086,California,2010,51871
1087,Colorado,2010,49254
1088,Connecticut,2010,64906
1089,Delaware,2010,62837
1090,District of Columbia,2010,168030
1091,Florida,2010,38604
1092,Georgia,2010,42029
1093,Hawaii,2010,49418
1094,Idaho,2010,34620
1095,Illinois,2010,50304
1096,Indiana,2010,42996
1097,Iowa,2010,45884
1098,Kansas,2010,44243
1099,Kentucky,2010,37579
1100,Louisiana,2010,48599
1101,Maine,2010,38352
1102,Maryland,2010,53675
1103,Massachusetts,2010,60808
1104,Michigan,2010,38763
1105,Minnesota,2010,50148
1106,Mississippi,2010,31688
1107,Missouri,2010,42204
1108,Montana,2010,37733
1109,Nebraska,2010,49569
1110,Nevada,2010,44589
1111,New Hampshire,2010,48388
1112,New Jersey,2010,55023
1113,New Mexico,2010,40297
1114,New York,2010,61267
1115,North Carolina,2010,43141
1116,North Dakota,2010,52185
1117,Ohio,2010,42667
1118,Oklahoma,2010,38303
1119,Oregon,2010,49601
1120,Pennsylvania,2010,46387
1121,Rhode Island,2010,46332
1122,South Carolina,2010,35126
1123,South Dakota,2010,45605
1124,Tennessee,2010,39370
1125,Texas,2010,47417
1126,Utah,2010,41500
1127,Vermont,2010,42170
1128,Virginia,2010,51946
1129,Washington,2010,52679
1130,West Virginia,2010,35368
1131,Wisconsin,2010,44126
1132,Wyoming,2010,64603
1133,New England,2010,56771
1134,Mideast,2010,56662
1135,Great Lakes,2010,44173
1136,Plains,2010,46209
1137,Southeast,2010,40674
1138,Southwest,2010,44490
1139,Rocky Mountain,2010,44936
1140,Far West,2010,51610
1141,United States,2011,47595
1142,Alabama,2011,36201
1143,Alaska,2011,70573
1144,Arizona,2011,38257
1145,Arkansas,2011,35146
1146,California,2011,52099
1147,Colorado,2011,49285
1148,Connecticut,2011,63638
1149,Delaware,2011,63793
1150,District of Columbia,2011,166870
1151,Florida,2011,37876
1152,Georgia,2011,42140
1153,Hawaii,2011,49331
1154,Idaho,2011,34270
1155,Illinois,2011,51198
1156,Indiana,2011,43058
1157,Iowa,2011,46523
1158,Kansas,2011,45476
1159,Kentucky,2011,37926
1160,Louisiana,2011,45712
1161,Maine,2011,37780
1162,Maryland,2011,54209
1163,Massachusetts,2011,61769
1164,Michigan,2011,39757
1165,Minnesota,2011,50875
1166,Mississippi,2011,31167
1167,Missouri,2011,41598
1168,Montana,2011,38542
1169,Nebraska,2011,51360
1170,Nevada,2011,44555
1171,New Hampshire,2011,48504
1172,New Jersey,2011,54302
1173,New Mexico,2011,40167
1174,New York,2011,61185
1175,North Carolina,2011,43223
1176,North Dakota,2011,57066
1177,Ohio,2011,44192
1178,Oklahoma,2011,39961
1179,Oregon,2011,51266
1180,Pennsylvania,2011,46872
1181,Rhode Island,2011,46010
1182,South Carolina,2011,35609
1183,South Dakota,2011,47972
1184,Tennessee,2011,40193
1185,Texas,2011,48354
1186,Utah,2011,41992
1187,Vermont,2011,43124
1188,Virginia,2011,51754
1189,Washington,2011,52500
1190,West Virginia,2011,36084
1191,Wisconsin,2011,44906
1192,Wyoming,2011,63985
1193,New England,2011,56886
1194,Mideast,2011,56728
1195,Great Lakes,2011,45116
1196,Plains,2011,46921
1197,Southeast,2011,40476
1198,Southwest,2011,45356
1199,Rocky Mountain,2011,45066
1200,Far West,2011,51881
1201,United States,2012,48173
1202,Alabama,2012,36425
1203,Alaska,2012,73478
1204,Arizona,2012,38559
1205,Arkansas,2012,34965
1206,California,2012,52974
1207,Colorado,2012,49639
1208,Connecticut,2012,63502
1209,Delaware,2012,62174
1210,District of Columbia,2012,163274
1211,Florida,2012,37705
1212,Georgia,2012,42191
1213,Hawaii,2012,49513
1214,Idaho,2012,34094
1215,Illinois,2012,52172
1216,Indiana,2012,43064
1217,Iowa,2012,48001
1218,Kansas,2012,45514
1219,Kentucky,2012,38052
1220,Louisiana,2012,45482
1221,Maine,2012,37705
1222,Maryland,2012,54018
1223,Massachusetts,2012,62456
1224,Michigan,2012,40463
1225,Minnesota,2012,51272
1226,Mississippi,2012,31786
1227,Missouri,2012,41926
1228,Montana,2012,38537
1229,Nebraska,2012,50631
1230,Nevada,2012,43382
1231,New Hampshire,2012,48652
1232,New Jersey,2012,55161
1233,New Mexico,2012,40094
1234,New York,2012,62841
1235,North Carolina,2012,42659
1236,North Dakota,2012,68105
1237,Ohio,2012,44896
1238,Oklahoma,2012,41861
1239,Oregon,2012,49395
1240,Pennsylvania,2012,47540
1241,Rhode Island,2012,46188
1242,South Carolina,2012,35346
1243,South Dakota,2012,46965
1244,Tennessee,2012,41091
1245,Texas,2012,50266
1246,Utah,2012,41929
1247,Vermont,2012,43042
1248,Virginia,2012,51546
1249,Washington,2012,53439
1250,West Virginia,2012,35509
1251,Wisconsin,2012,45382
1252,Wyoming,2012,60777
1253,New England,2012,57196
1254,Mideast,2012,57660
1255,Great Lakes,2012,45767
1256,Plains,2012,47634
1257,Southeast,2012,40421
1258,Southwest,2012,46909
1259,Rocky Mountain,2012,45025
1260,Far West,2012,52478
1261,United States,2013,48538
1262,Alabama,2013,36660
1263,Alaska,2013,69700
1264,Arizona,2013,38303
1265,Arkansas,2013,35865
1266,California,2013,53855
1267,Colorado,2013,50475
1268,Connecticut,2013,62550
1269,Delaware,2013,60719
1270,District of Columbia,2013,159497
1271,Florida,2013,38023
1272,Georgia,2013,42500
1273,Hawaii,2013,49539
1274,Idaho,2013,34748
1275,Illinois,2013,51963
1276,Indiana,2013,43866
1277,Iowa,2013,48002
1278,Kansas,2013,45470
1279,Kentucky,2013,38247
1280,Louisiana,2013,43725
1281,Maine,2013,37477
1282,Maryland,2013,53765
1283,Massachusetts,2013,61882
1284,Michigan,2013,40993
1285,Minnesota,2013,51999
1286,Mississippi,2013,31923
1287,Missouri,2013,42487
1288,Montana,2013,38476
1289,Nebraska,2013,51565
1290,Nevada,2013,43075
1291,New Hampshire,2013,48871
1292,New Jersey,2013,55750
1293,New Mexico,2013,39659
1294,New York,2013,62444
1295,North Carolina,2013,42945
1296,North Dakota,2013,67651
1297,Ohio,2013,45254
1298,Oklahoma,2013,43288
1299,Oregon,2013,48094
1300,Pennsylvania,2013,48278
1301,Rhode Island,2013,46356
1302,South Carolina,2013,35701
1303,South Dakota,2013,46869
1304,Tennessee,2013,41487
1305,Texas,2013,52018
1306,Utah,2013,42267
1307,Vermont,2013,42914
1308,Virginia,2013,51106
1309,Washington,2013,54161
1310,West Virginia,2013,35755
1311,Wisconsin,2013,45845
1312,Wyoming,2013,60770
1313,New England,2013,56721
1314,Mideast,2013,57721
1315,Great Lakes,2013,46077
1316,Plains,2013,48068
1317,Southeast,2013,40539
1318,Southwest,2013,48198
1319,Rocky Mountain,2013,45585
1320,Far West,2013,53032
1321,United States,2014,49339
1322,Alabama,2014,36455
1323,Alaska,2014,67188
1324,Arizona,2014,38450
1325,Arkansas,2014,36274
1326,California,2014,55598
1327,Colorado,2014,52064
1328,Connecticut,2014,62171
1329,Delaware,2014,63368
1330,District of Columbia,2014,159745
1331,Florida,2014,38477
1332,Georgia,2014,43465
1333,Hawaii,2014,49716
1334,Idaho,2014,35103
1335,Illinois,2014,52966
1336,Indiana,2014,44784
1337,Iowa,2014,49566
1338,Kansas,2014,46269
1339,Kentucky,2014,38334
1340,Louisiana,2014,44453
1341,Maine,2014,38055
1342,Maryland,2014,54108
1343,Massachusetts,2014,62571
1344,Michigan,2014,41566
1345,Minnesota,2014,53105
1346,Mississippi,2014,31613
1347,Missouri,2014,42483
1348,Montana,2014,39174
1349,Nebraska,2014,53101
1350,Nevada,2014,43067
1351,New Hampshire,2014,49544
1352,New Jersey,2014,55677
1353,New Mexico,2014,40814
1354,New York,2014,63372
1355,North Carolina,2014,43442
1356,North Dakota,2014,70986
1357,Ohio,2014,46662
1358,Oklahoma,2014,45414
1359,Oregon,2014,48466
1360,Pennsylvania,2014,49214
1361,Rhode Island,2014,46723
1362,South Carolina,2014,36301
1363,South Dakota,2014,46874
1364,Tennessee,2014,41875
1365,Texas,2014,52875
1366,Utah,2014,43145
1367,Vermont,2014,43120
1368,Virginia,2014,50879
1369,Washington,2014,55197
1370,West Virginia,2014,36059
1371,Wisconsin,2014,46423
1372,Wyoming,2014,60900
1373,New England,2014,57099
1374,Mideast,2014,58443
1375,Great Lakes,2014,47021
1376,Plains,2014,48975
1377,Southeast,2014,40917
1378,Southwest,2014,49099
1379,Rocky Mountain,2014,46655
1380,Far West,2014,54388
1381,United States,2015,50323
1382,Alabama,2015,36911
1383,Alaska,2015,67302
1384,Arizona,2015,38647
1385,Arkansas,2015,36338
1386,California,2015,57596
1387,Colorado,2015,52858
1388,Connecticut,2015,63464
1389,Delaware,2015,64516
1390,District of Columbia,2015,159881
1391,Florida,2015,39289
1392,Georgia,2015,44299
1393,Hawaii,2015,50994
1394,Idaho,2015,35738
1395,Illinois,2015,53729
1396,Indiana,2015,45012
1397,Iowa,2015,51305
1398,Kansas,2015,46658
1399,Kentucky,2015,38610
1400,Louisiana,2015,44503
1401,Maine,2015,38415
1402,Maryland,2015,54908
1403,Massachusetts,2015,64592
1404,Michigan,2015,42778
1405,Minnesota,2015,53634
1406,Mississippi,2015,31700
1407,Missouri,2015,42995
1408,Montana,2015,39725
1409,Nebraska,2015,53859
1410,Nevada,2015,43803
1411,New Hampshire,2015,50781
1412,New Jersey,2015,56241
1413,New Mexico,2015,41509
1414,New York,2015,64573
1415,North Carolina,2015,44172
1416,North Dakota,2015,67632
1417,Ohio,2015,47146
1418,Oklahoma,2015,46447
1419,Oregon,2015,50058
1420,Pennsylvania,2015,50357
1421,Rhode Island,2015,47541
1422,South Carolina,2015,36917
1423,South Dakota,2015,47894
1424,Tennessee,2015,42803
1425,Texas,2015,54134
1426,Utah,2015,44174
1427,Vermont,2015,43571
1428,Virginia,2015,51667
1429,Washington,2015,56407
1430,West Virginia,2015,36461
1431,Wisconsin,2015,47325
1432,Wyoming,2015,60979
1433,New England,2015,58578
1434,Mideast,2015,59472
1435,Great Lakes,2015,47745
1436,Plains,2015,49582
1437,Southeast,2015,41557
1438,Southwest,2015,50149
1439,Rocky Mountain,2015,47437
1440,Far West,2015,56134
1441,United States,2016,50708
1442,Alabama,2016,37402
1443,Alaska,2016,63317
1444,Arizona,2016,38985
1445,Arkansas,2016,36524
1446,California,2016,59117
1447,Colorado,2016,52567
1448,Connecticut,2016,63636
1449,Delaware,2016,64054
1450,District of Columbia,2016,160643
1451,Florida,2016,39506
1452,Georgia,2016,45140
1453,Hawaii,2016,51819
1454,Idaho,2016,36056
1455,Illinois,2016,54404
1456,Indiana,2016,45977
1457,Iowa,2016,51912
1458,Kansas,2016,46217
1459,Kentucky,2016,38950
1460,Louisiana,2016,44451
1461,Maine,2016,38956
1462,Maryland,2016,56070
1463,Massachusetts,2016,65281
1464,Michigan,2016,43665
1465,Minnesota,2016,54414
1466,Mississippi,2016,32102
1467,Missouri,2016,43004
1468,Montana,2016,39763
1469,Nebraska,2016,53949
1470,Nevada,2016,43557
1471,New Hampshire,2016,51411
1472,New Jersey,2016,56565
1473,New Mexico,2016,41559
1474,New York,2016,64810
1475,North Carolina,2016,44511
1476,North Dakota,2016,64136
1477,Ohio,2016,47633
1478,Oklahoma,2016,44356
1479,Oregon,2016,51066
1480,Pennsylvania,2016,50665
1481,Rhode Island,2016,47739
1482,South Carolina,2016,37075
1483,South Dakota,2016,47808
1484,Tennessee,2016,43688
1485,Texas,2016,53129
1486,Utah,2016,44893
1487,Vermont,2016,43984
1488,Virginia,2016,51643
1489,Washington,2016,57727
1490,West Virginia,2016,36244
1491,Wisconsin,2016,47833
1492,Wyoming,2016,60004
1493,New England,2016,59079
1494,Mideast,2016,59870
1495,Great Lakes,2016,48431
1496,Plains,2016,49706
1497,Southeast,2016,41895
1498,Southwest,2016,49342
1499,Rocky Mountain,2016,47481
1500,Far West,2016,57398
